"type","lat","lng","id","zone","device","description"
"Point","40.38698049691128","-3.729746745492889","3687","city","50028"," LUIS GOMEZ S-N"
"Point","40.389143841437566","-3.716055548647563","5094","city","50033"," GUADALETE E-O"
"Point","40.3895736951384","-3.7362698318299064","3576","city","51001","OCA O-E (ALFARO-PL. ALMODOVAR)"
"Point","40.365688479921666","-3.771300183996081","5268","city","84033","SALIDA NISSAN(FACTORIA-C.B?.FORTUNA"
"Point","40.362149920024656","-3.6906023261121335","5343","city","87008","CIRCULO O-E(SAL.CARREFOUR-AV. OROVILLA)"
"Point","40.36171328331676","-3.689726061864208","5344","city","87009","AV. OROVILLA S-N(UNANIMIDAD-CIRCULO)"
"Point","40.36836117148655","-3.693260108542537","5345","city","87010","ROSALES O-E(AV.ANDALUCIA-OROVILLA)"
"Point","40.33356882898149","-3.7135394537044455","5387","city","94003","S. EZEQUIEL NO-SE(V.TOBALINA-REAL PINTO)"
"Point","40.39908068845196","-3.768336058296159","5165","city","98023","CTRA. DE BOADILLA O-E (AZOR-CARABIAS)"
"Point","40.39743272265716","-3.7747302099007984","3641","city","98029","CT.CARABA.-ARAVACA O-E(M502-SANCHIDRIAN)"
"Point","40.396933398014454","-3.7743345492156695","5163","city","98030","CT.CARABA.-ARAVACA O-E(M502-SANCHIDRIAN)"
"Point","40.39649320647827","-3.7735655406949724","5161","city","98032","VILLAVIC.N-S(SEDANO-CT.CARAB-ARAV)"
"Point","40.46257836967171","-3.7185820903371702","3473","city","31022","Alcalde Martmn Alzaga E-O(Aguilar de Campoo-Antonio Machado)"
"Point","40.45417027521711","-3.7147299148973025","4516","city","31027","ALMIRANTE FCO. MORENO S-N(VALLS FERRER-PABLO IGLESIAS)"
"Point","40.45139324436571","-3.6675503590438003","3920","city","4014","Alfonso XIII S-N - Carlos Pereira-Ramon y Caja"
"Point","40.44772842827033","-3.6801890307997107","3924","city","4018","Doctor Arce S-N - Estevez-Pl. Cataluña"
"Point","40.404545479839214","-3.7022642688985967","4214","city","14018","Embajadores N-S - Gta. Embajadores-Moratines"
"Point","40.404277140219435","-3.7053336339614087","4218","city","14022","Pº Acacias E-O - Embajadores-Pº Esperanza"
"Point","40.422375783385306","-3.712563591934955","4313","city","16042","Cuesta San Vicente O-E - Bailen-Gran Via"
"Point","40.45592754884059","-3.6946834927329015","5652","city","62037","Orense N-S - General Yagüe-Pedro Teixeira"
"Point","40.45714322126968","-3.646102225276436","6229","city","55009","C/. Moscatelar - Milán-Pl. Liceo"
"Point","40.458282850625665","-3.6436155925329685","6230","city","55010","C/. Silvano - Colegio Liceo-Moscatelar"
"Point","40.36861688076608","-3.7414335390897366","3688","city","84015","AV EURO N-S(REUS-AGUACATE)"
"Point","40.48077356512205","-3.712447998541078","5439","city","43028"," Santiago de Compostela  E-O - Fco. Llorens-Av.Betanzos"
"Point","40.438680362580335","-3.647051091331249","6368","city","59014","C/. Hermanos de Pablo - José del Hierro-Virgen del Portillo"
"Point","40.43694717224559","-3.65748173637391","6370","city","59016","C/. Salvador de Madariaga - Virgen de Lourdees-Esteban Mora"
"Point","40.412482882162486","-3.6285299298242513","6497","city","65017","Fuente Carrantona S-N - José Bergamín-M-23"
"Point","40.45199926635051","-3.671269450828392","3929","city","4024","Gabriel-Galan S-N - Guerrero Mendoza-Ramon y Cajal"
"Point","40.41404836456931","-3.701452082188012","4200","city","14002","San Sebastian N-S - Huertas - Atocha"
"Point","40.454692916878074","-3.7131258116791317","4515","city","31026","PABLO IGLESIAS O-E(ALMIRANTE FCO. MORENO-NUMANCIA)"
"Point","40.452003078622596","-3.7183261921695845","3440","city","31029","MORERAS S-N(RAMIRO MAEZTU-JUAN XXIII)"
"Point","40.47975600487662","-3.713310999051129","5440","city","43029"," Ramón Castroviejo O-E - Pto.Maspalomas-Av.Betanzos"
"Point","40.463339775408905","-3.676032991569734","5542","city","61030","Av.Pio XII  N-S - Jerez-Macarena"
"Point","40.45947226456796","-3.6813973294876052","5571","city","61060","Pº de la Habana N-S - Honduras -Domingo Fernández"
"Point","40.4403797273015","-3.615100575255669","6389","city","64002","Av. Canillejas a Vicálvaro - Canal de Bósforo-Néctar"
"Point","40.43690894287784","-3.613161585623738","6390","city","64003","Av. Canillejas a Vicálvaro - Julián Camarillo-Etruria"
"Point","40.395683746104055","-3.742616271611734","4747","city","24010","GALLUR E-O(ESCALONILLA-GTA.CARMENES)"
